"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package-lock.json", "JSON", 0, 0, 0, 0, 72, 0, 0, 72
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\public\icons\pdf-icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\api\supabaseApi.js", "JavaScript", 115, 0, 0, 0, 0, 31, 22, 168
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\BadgeGroup.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 5, 87
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\FilterPane.jsx", "JavaScript JSX", 0, 0, -3, 0, 0, 0, 0, -3
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Header.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NCEntryForm.jsx", "JavaScript JSX", 0, 0, 158, 0, 0, 1, 2, 161
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformance.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceCard.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceGrid.jsx", "JavaScript JSX", 0, 0, -14, 0, 0, 0, 0, -14
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\NonConformanceRow.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ShieldBadge.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 1, 5, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\SideMenuItem.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 9
