"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "Properties", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\.env", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\eslint.config.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\jsconfig.json", "JSON with Comments", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package-lock.json", "JSON", 4702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4703
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\public\icons\pdf-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\MenuStructure.js", "JavaScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 84
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\SettingMenuStructure.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\api\supabaseApi.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 36, 28, 212
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\api\uniRateExchangeApi.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\authService.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ActionsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 8, 105
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ActionsModalItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\BadgeGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 5, 87
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\Breadcrumb.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 6, 56
