"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "JavaScript JSX", "HTML", "PostCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\index.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\jsconfig.json", "JSON with Comments", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\package-lock.json", "JSON", 4809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4810
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\public\icons\pdf-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\MenuStructure.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 2, 76
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\SettingMenuStructure.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\api\supabaseApi.js", "JavaScript", 0, 172, 0, 0, 0, 0, 0, 0, 0, 36, 32, 240
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\api\uniRateExchangeApi.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\authService.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 12, 97
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ActionsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 7, 105
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ActionsModalItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\BadgeGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 5, 87
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\BookingRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 11, 114
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\BookingsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 13, 225
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Breadcrumb.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 10, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\CardSelect.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 14, 108
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ClientManagementOverviewCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 283, 0, 0, 0, 0, 7, 23, 313
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\CostData.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 6, 118
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\DailyCalendarItems.jsx", "JavaScript JSX", 0, 0, 0, 0, 183, 0, 0, 0, 0, 5, 9, 197
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\DataNavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 8, 108
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\DataNavBar2.jsx", "JavaScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 1, 12, 105
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\EmployeeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Employees.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 0, 0, 1, 12, 168
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\FilterPane.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 16, 151
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\FullScreenCalendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 349, 0, 0, 0, 0, 14, 30, 393
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\HeaderIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\HomeRedirect.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\IconButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobList.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 2, 6, 85
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheet.jsx", "JavaScript JSX", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 23, 416
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheetPrintModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 3, 58
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\JobSheetPrintView.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadCorrespondence.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 3, 66
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 0, 6, 12, 159
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadMeeting.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LeadsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 3, 10, 161
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\LoadingSpinner.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 6, 154
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 5, 33
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\MeetingCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ModalImageUploader.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 0, 8, 24, 178
