"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\MenuStructure.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\api\supabaseApi.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\AbsenceList.jsx", "JavaScript JSX", 0, 201, 0, 3, 10, 214
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ActionsModal.jsx", "JavaScript JSX", 0, 6, 0, 0, 1, 7
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\AdHocJobRow.jsx", "JavaScript JSX", 0, 103, 0, 0, 12, 115
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\AdHocJobsTable.jsx", "JavaScript JSX", 0, 180, 0, 0, 13, 193
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\BookingsTable.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Breadcrumb.jsx", "JavaScript JSX", 0, 6, 0, 0, 1, 7
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\CTAButton.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 11
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ClientManagementOverviewCard.jsx", "JavaScript JSX", 0, -2, 0, 0, 2, 0
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\DailyCalendarItems.jsx", "JavaScript JSX", 0, 99, 0, 0, 3, 102
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Employees.jsx", "JavaScript JSX", 0, 35, 0, 2, 3, 40
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\FullScreenCalendar.jsx", "JavaScript JSX", 0, 91, 0, 0, 5, 96
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\Header.jsx", "JavaScript JSX", 0, 10, 0, 0, -2, 8
