Date : 2025-12-16 21:58:59
Directory : c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal
Total : 85 files,  4133 codes, 140 comments, 434 blanks, all 4707 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         80 |      4,057 |        140 |        431 |      4,628 |
| JavaScript     |          4 |         67 |          0 |          2 |         69 |
| PostCSS        |          1 |          9 |          0 |          1 |         10 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         85 |      4,133 |        140 |        434 |      4,707 |
| src                                                                                                                             |         85 |      4,133 |        140 |        434 |      4,707 |
| src (Files)                                                                                                                     |          4 |         91 |          0 |          2 |         93 |
| src\api                                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| src\components                                                                                                                  |         61 |      3,288 |         66 |        285 |      3,639 |
| src\components (Files)                                                                                                          |         31 |      1,585 |          4 |        105 |      1,694 |
| src\components\Settings                                                                                                         |          3 |        236 |         19 |         46 |        301 |
| src\components\dashboard                                                                                                        |          7 |        387 |          9 |         42 |        438 |
| src\components\forms                                                                                                            |         13 |        995 |         30 |         83 |      1,108 |
| src\components\ui                                                                                                               |          7 |         85 |          4 |          9 |         98 |
| src\contexts                                                                                                                    |          1 |         85 |         13 |         19 |        117 |
| src\hooks                                                                                                                       |         17 |        646 |         61 |        127 |        834 |
| src\lib                                                                                                                         |          1 |         15 |          0 |          0 |         15 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\MenuStructure.js                              | JavaScript     |          4 |          0 |          0 |          4 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\api\supabaseApi.js                            | JavaScript     |          8 |          0 |          1 |          9 |
